p_initial,p_final,e_loss,x_sigma,dir_sigma,e_sigma
1.98153,1.84393,0.137389,27.1703,0.0181451,0.00830092
1.99526,1.8576,0.137459,26.9761,0.0180154,0.00830856
2.00909,1.87136,0.137529,26.7834,0.0178865,0.00831616
2.02302,1.88522,0.137599,26.592,0.0177587,0.00832371
2.03704,1.89917,0.13767,26.4021,0.0176318,0.00833123
2.05116,1.91323,0.13774,26.2136,0.0175058,0.0083387
2.06538,1.92738,0.13781,26.0265,0.0173808,0.00834612
2.0797,1.94163,0.13788,25.8408,0.0172567,0.0083535
2.09411,1.95597,0.137951,25.6565,0.0171335,0.00836084
2.10863,1.97042,0.138021,25.4735,0.0170112,0.00836814
2.12324,1.98497,0.138091,25.2919,0.0168898,0.00837539
2.13796,1.99962,0.138162,25.1116,0.0167694,0.0083826
2.15278,2.01437,0.138232,24.9327,0.0166498,0.00838977
2.1677,2.02923,0.138303,24.755,0.0165311,0.0083969
2.18273,2.04418,0.138373,24.5787,0.0164133,0.00840399
2.19786,2.05925,0.138444,24.4037,0.0162963,0.00841103
2.21309,2.07441,0.138514,24.23,0.0161802,0.00841804
2.22844,2.08968,0.138585,24.0575,0.016065,0.008425
2.24388,2.10506,0.138656,23.8863,0.0159506,0.00843192
2.25944,2.12055,0.138726,23.7164,0.0158371,0.00843881
2.2751,2.13614,0.138797,23.5477,0.0157243,0.00844565
2.29087,2.15184,0.138868,23.3803,0.0156125,0.00845245
2.30675,2.16765,0.138939,23.2141,0.0155014,0.00845921
2.32274,2.18357,0.139009,23.0491,0.0153912,0.00846594
2.33884,2.19961,0.13908,22.8853,0.0152817,0.00847262
2.35505,2.21575,0.139151,22.7228,0.0151731,0.00847927
2.37137,2.23201,0.139222,22.5614,0.0150653,0.00848587
2.38781,2.24837,0.139293,22.4012,0.0149583,0.00849244
2.40436,2.26486,0.139364,22.2422,0.014852,0.00849897
2.42103,2.28145,0.139435,22.0843,0.0147465,0.00850546
2.43781,2.29817,0.139505,21.9276,0.0146418,0.00851192
2.45471,2.315,0.139576,21.772,0.0145379,0.00851833
2.47172,2.33194,0.139647,21.6176,0.0144347,0.00852471
2.48886,2.34901,0.139718,21.4643,0.0143323,0.00853105
2.50611,2.36619,0.139789,21.3121,0.0142306,0.00853735
2.52348,2.38349,0.13986,21.1611,0.0141297,0.00854362
2.54097,2.40091,0.139931,21.0111,0.0140295,0.00854985
2.55859,2.41846,0.140002,20.8622,0.0139301,0.00855604
2.57632,2.43612,0.140073,20.7144,0.0138313,0.0085622
2.59418,2.45391,0.140145,20.5677,0.0137333,0.00856832
2.61216,2.47182,0.140216,20.4221,0.013636,0.00857441
2.63027,2.48986,0.140287,20.2775,0.0135394,0.00858046
2.6485,2.50802,0.140358,20.134,0.0134435,0.00858647
