p_initial,p_final,e_loss,x_sigma,dir_sigma,e_sigma
1,0.76929,0.229055,66.1843,0.0451146,0.00977996
1.00693,0.776002,0.229298,65.6731,0.044757,0.00981416
1.01391,0.782761,0.229542,65.1665,0.0444027,0.0098482
1.02094,0.789568,0.229786,64.6641,0.0440516,0.00988207
1.02802,0.796422,0.230031,64.1662,0.0437037,0.00991578
1.03514,0.803325,0.230277,63.6726,0.043359,0.00994932
1.04232,0.810277,0.230522,63.1831,0.0430173,0.00998271
1.04954,0.817277,0.230769,62.6979,0.0426787,0.0100159
1.05682,0.824313,0.231029,62.2179,0.0423438,0.0100487
1.06414,0.831162,0.231524,61.7574,0.0420228,0.0100754
1.07152,0.838065,0.232016,61.2998,0.0417041,0.0101022
1.07895,0.845023,0.232505,60.8449,0.0413875,0.010129
1.08643,0.852035,0.23299,60.3929,0.0410732,0.0101558
1.09396,0.859102,0.233472,59.9436,0.040761,0.0101827
1.10154,0.866224,0.233951,59.497,0.040451,0.0102095
1.10917,0.873403,0.234426,59.0534,0.0401432,0.0102363
1.11686,0.880581,0.234953,58.615,0.0398394,0.0102618
1.1246,0.887872,0.23542,58.1768,0.0395358,0.0102886
1.1324,0.895221,0.235884,57.7414,0.0392342,0.0103154
1.14025,0.902599,0.236372,57.3099,0.0389357,0.0103416
1.14815,0.910064,0.236828,56.8801,0.0386383,0.0103684
1.15611,0.91753,0.237337,56.4549,0.0383446,0.010394
1.16413,0.925112,0.237785,56.0308,0.0380513,0.0104208
1.1722,0.932725,0.238257,55.6102,0.0377607,0.010447
1.18032,0.940427,0.238696,55.1918,0.0374716,0.0104739
1.1885,0.948132,0.239189,54.7774,0.0371855,0.0104995
1.19674,0.955926,0.239648,54.3651,0.0369009,0.0105258
1.20504,0.96381,0.240075,53.9551,0.0366177,0.0105526
1.21339,0.971699,0.240554,53.549,0.0363374,0.0105783
1.2218,0.979679,0.241,53.1452,0.0360586,0.0106046
1.23027,0.987693,0.24147,52.7445,0.035782,0.0106302
1.2388,0.995798,0.241906,52.3463,0.035507,0.0106565
1.24738,1.00394,0.242367,51.9511,0.0352342,0.0106823
1.25603,1.01217,0.242794,51.5586,0.034963,0.0107086
1.26474,1.02044,0.243245,51.1691,0.0346938,0.0107343
1.2735,1.02881,0.243662,50.7822,0.0344263,0.0107607
1.28233,1.03721,0.244103,50.3983,0.0341608,0.0107865
