p_initial,total_mean,bethe,total_mode,landau_sigma
0.134609,0.000259784,0.000259755,0.000233784,2.65128e-05
0.135948,0.00025831,0.000258281,0.000232457,2.63146e-05
0.137301,0.000256867,0.000256839,0.000231159,2.61202e-05
0.138668,0.000255457,0.000255427,0.000229889,2.59297e-05
0.140048,0.000254076,0.000254047,0.000228647,2.57429e-05
0.141442,0.000252726,0.000252697,0.000227432,2.55598e-05
0.14285,0.000251406,0.000251377,0.000226243,2.53802e-05
0.144271,0.000250115,0.000250086,0.000225081,2.52042e-05
0.145707,0.000248853,0.000248823,0.000223945,2.50316e-05
0.147157,0.00024762,0.000247589,0.000222835,2.48624e-05
0.148622,0.000246414,0.000246383,0.000221749,2.46966e-05
0.150101,0.000245235,0.000245204,0.000220688,2.4534e-05
0.151595,0.000244083,0.000244052,0.000219652,2.43746e-05
0.153104,0.000242958,0.000242927,0.000218639,2.42183e-05
0.154628,0.000241858,0.000241827,0.000217649,2.4065e-05
0.156167,0.000240784,0.000240753,0.000216682,2.39148e-05
0.157721,0.000239736,0.000239704,0.000215738,2.37675e-05
0.159291,0.000238712,0.00023868,0.000214817,2.36231e-05
0.160876,0.000237712,0.00023768,0.000213917,2.34816e-05
0.162477,0.000236736,0.000236704,0.000213038,2.33428e-05
0.164094,0.000235783,0.000235751,0.000212181,2.32067e-05
0.165728,0.000234854,0.000234821,0.000211344,2.30733e-05
0.167377,0.000233947,0.000233914,0.000210528,2.29426e-05
0.169043,0.000233063,0.000233029,0.000209731,2.28144e-05
0.170725,0.0002322,0.000232166,0.000208955,2.26887e-05
0.172424,0.000231359,0.000231325,0.000208198,2.25654e-05
0.17414,0.000230539,0.000230505,0.000207459,2.24446e-05
0.175874,0.00022974,0.000229705,0.00020674,2.23262e-05
0.177624,0.000228961,0.000228926,0.000206039,2.22101e-05
0.179392,0.000228202,0.000228167,0.000205356,2.20962e-05
0.181177,0.000227463,0.000227428,0.000204691,2.19846e-05
0.182981,0.000226744,0.000226708,0.000204043,2.18752e-05
0.184802,0.000226043,0.000226008,0.000203412,2.17679e-05
0.186641,0.000225362,0.000225326,0.000202799,2.16627e-05
0.188499,0.000224698,0.000224662,0.000202202,2.15596e-05
0.190375,0.000224053,0.000224017,0.000201621,2.14585e-05
0.192269,0.000223426,0.000223389,0.000201056,2.13594e-05
0.194183,0.000222816,0.000222779,0.000200507,2.12623e-05
0.196116,0.000222224,0.000222186,0.000199973,2.1167e-05
0.198067,0.000221648,0.000221611,0.000199455,2.10736e-05
0.200039,0.000221089,0.000221051,0.000198952,2.09821e-05
0.20203,0.000220546,0.000220508,0.000198463,2.08923e-05
0.20404,0.00022002,0.000219981,0.000197989,2.08043e-05
0.206071,0.000219509,0.00021947,0.000197529,2.0718e-05
0.208122,0.000219013,0.000218974,0.000197083,2.06334e-05
0.210194,0.000218533,0.000218494,0.00019665,2.05505e-05
0.212286,0.000218068,0.000218029,0.000196232,2.04692e-05
0.214398,0.000217618,0.000217578,0.000195826,2.03895e-05
0.216532,0.000217182,0.000217142,0.000195434,2.03114e-05
0.218687,0.00021676,0.00021672,0.000195054,2.02348e-05
0.220864,0.000216352,0.000216312,0.000194687,2.01597e-05
0.223062,0.000215959,0.000215917,0.000194332,2.0086e-05
0.225282,0.000215578,0.000215537,0.000193989,2.00138e-05
0.227524,0.000215211,0.000215169,0.000193658,1.99431e-05
0.229789,0.000214857,0.000214815,0.000193339,1.98737e-05
0.232076,0.000214516,0.000214473,0.000193032,1.98057e-05
0.234385,0.000214187,0.000214144,0.000192736,1.9739e-05
0.236718,0.00021387,0.000213827,0.000192451,1.96736e-05
0.239074,0.000213566,0.000213523,0.000192177,1.96095e-05
0.241454,0.000213274,0.00021323,0.000191914,1.95467e-05
0.243857,0.000212994,0.000212949,0.000191661,1.9485e-05
0.246284,0.000212725,0.00021268,0.000191419,1.94246e-05
0.248735,0.000212467,0.000212422,0.000191187,1.93654e-05
0.251211,0.000212221,0.000212175,0.000190965,1.93074e-05
0.253711,0.000211985,0.000211939,0.000190752,1.92505e-05
0.256236,0.000211761,0.000211714,0.00019055,1.91947e-05
0.258786,0.000211547,0.0002115,0.000190357,1.91399e-05
0.261362,0.000211343,0.000211296,0.000190173,1.90863e-05
0.263963,0.00021115,0.000211102,0.000189999,1.90337e-05
0.26659,0.000210966,0.000210918,0.000189834,1.89822e-05
0.269243,0.000210793,0.000210744,0.000189677,1.89316e-05
0.271923,0.000210629,0.00021058,0.000189529,1.88821e-05
0.274629,0.000210474,0.000210425,0.00018939,1.88335e-05
0.277363,0.00021033,0.00021028,0.000189259,1.87859e-05
0.280123,0.000210194,0.000210144,0.000189137,1.87392e-05
0.282911,0.000210067,0.000210017,0.000189023,1.86934e-05
0.285727,0.000209949,0.000209899,0.000188916,1.86486e-05
0.288571,0.00020984,0.000209789,0.000188818,1.86046e-05
0.291443,0.00020974,0.000209688,0.000188727,1.85614e-05
0.294343,0.000209648,0.000209596,0.000188644,1.85191e-05
0.297273,0.000209564,0.000209511,0.000188568,1.84777e-05
0.300232,0.000209489,0.000209435,0.0001885,1.8437e-05
0.30322,0.000209421,0.000209367,0.000188439,1.83972e-05
0.306238,0.000209361,0.000209307,0.000188384,1.83581e-05
0.309285,0.000209309,0.000209255,0.000188337,1.83198e-05
0.312364,0.000209265,0.00020921,0.000188297,1.82823e-05
0.315473,0.000209228,0.000209172,0.000188263,1.82455e-05
0.318612,0.000209198,0.000209142,0.000188236,1.82094e-05
0.321783,0.000209176,0.000209119,0.000188216,1.8174e-05
0.324986,0.00020916,0.000209103,0.000188201,1.81393e-05
0.328221,0.000209152,0.000209094,0.000188194,1.81053e-05
0.331487,0.00020915,0.000209092,0.000188192,1.8072e-05
0.334786,0.000209155,0.000209097,0.000188196,1.80393e-05
0.338118,0.000209167,0.000209108,0.000188206,1.80072e-05
0.341484,0.000209185,0.000209126,0.000188222,1.79758e-05
0.344882,0.00020921,0.00020915,0.000188244,1.7945e-05
0.348315,0.000209241,0.00020918,0.000188271,1.79148e-05
0.351781,0.000209278,0.000209216,0.000188304,1.78852e-05
0.355283,0.000209321,0.000209259,0.000188342,1.78562e-05
0.358819,0.00020937,0.000209307,0.000188386,1.78277e-05
0.36239,0.000209424,0.000209361,0.000188435,1.77998e-05
0.365997,0.000209485,0.000209421,0.000188489,1.77725e-05
0.369639,0.000209551,0.000209487,0.000188548,1.77457e-05
0.373318,0.000209623,0.000209558,0.000188612,1.77194e-05
0.377034,0.0002097,0.000209634,0.000188681,1.76936e-05
0.380786,0.000209782,0.000209716,0.000188754,1.76683e-05
0.384576,0.00020987,0.000209803,0.000188833,1.76436e-05
0.388404,0.000209962,0.000209895,0.000188916,1.76193e-05
0.392269,0.00021006,0.000209992,0.000189003,1.75955e-05
0.396173,0.000210163,0.000210094,0.000189095,1.75721e-05
0.400116,0.000210271,0.000210201,0.000189192,1.75492e-05
0.404099,0.000210383,0.000210313,0.000189292,1.75268e-05
0.40812,0.0002105,0.00021043,0.000189397,1.75048e-05
0.412182,0.000210622,0.000210551,0.000189506,1.74832e-05
0.416285,0.000210748,0.000210677,0.00018962,1.74621e-05
0.420428,0.000210879,0.000210807,0.000189737,1.74414e-05
0.424612,0.000211014,0.000210941,0.000189858,1.7421e-05
0.428838,0.000211154,0.00021108,0.000189983,1.74011e-05
0.433106,0.000211297,0.000211223,0.000190112,1.73816e-05
0.437417,0.000211445,0.00021137,0.000190244,1.73624e-05
0.44177,0.000211597,0.000211521,0.000190381,1.73437e-05
0.446167,0.000211753,0.000211677,0.00019052,1.73253e-05
0.450608,0.000211913,0.000211836,0.000190664,1.73072e-05
0.455093,0.000212077,0.000211999,0.000190811,1.72895e-05
0.459622,0.000212245,0.000212166,0.000190961,1.72722e-05
0.464196,0.000212416,0.000212336,0.000191115,1.72552e-05
0.468816,0.000212591,0.000212511,0.000191272,1.72385e-05
0.473482,0.000212769,0.000212688,0.000191432,1.72222e-05
0.478195,0.000212952,0.00021287,0.000191595,1.72062e-05
0.482954,0.000213137,0.000213055,0.000191761,1.71905e-05
0.487761,0.000213326,0.000213243,0.000191931,1.71751e-05
0.492615,0.000213518,0.000213434,0.000192104,1.716e-05
0.497518,0.000213714,0.000213629,0.000192279,1.71452e-05
0.50247,0.000213913,0.000213827,0.000192457,1.71306e-05
0.507471,0.000214115,0.000214028,0.000192639,1.71164e-05
0.512521,0.00021432,0.000214233,0.000192823,1.71025e-05
0.517622,0.000214528,0.00021444,0.000193009,1.70888e-05
0.522774,0.00021474,0.000214651,0.000193199,1.70754e-05
0.527977,0.000214954,0.000214864,0.000193391,1.70622e-05
0.533232,0.000215171,0.00021508,0.000193586,1.70494e-05
0.538539,0.000215391,0.000215299,0.000193783,1.70367e-05
0.543899,0.000215614,0.000215521,0.000193983,1.70243e-05
0.549312,0.000215839,0.000215746,0.000194185,1.70122e-05
0.554779,0.000216067,0.000215973,0.00019439,1.70003e-05
0.560301,0.000216298,0.000216203,0.000194597,1.69886e-05
0.565877,0.000216532,0.000216436,0.000194807,1.69772e-05
0.571509,0.000216768,0.000216671,0.000195018,1.6966e-05
