p_initial,p_final,e_loss,x_sigma,dir_sigma,e_sigma
1,0.986727,0.0131983,15.2511,0.0101674,0.000941133
1.00693,0.993646,0.0132117,15.1443,0.0100962,0.000941144
1.01391,1.00061,0.0132251,15.0382,0.0100254,0.000941156
1.02094,1.00763,0.0132385,14.9329,0.00995522,0.000941169
1.02802,1.01469,0.013252,14.8283,0.00988551,0.000941182
1.03514,1.02181,0.0132654,14.7245,0.00981631,0.000941197
1.04232,1.02897,0.0132789,14.6214,0.0097476,0.000941212
1.04954,1.03618,0.0132924,14.5191,0.00967939,0.000941228
1.05682,1.04346,0.0132854,14.4174,0.00961157,0.000941283
1.06414,1.05086,0.0132151,14.3159,0.00954394,0.000941452
1.07152,1.05825,0.0132013,14.2156,0.00947707,0.000941519
1.07895,1.06568,0.013207,14.1162,0.00941077,0.000941551
1.08643,1.07315,0.0132128,14.0174,0.00934494,0.000941583
1.09396,1.08068,0.0132186,13.9194,0.00927958,0.000941616
1.10154,1.08825,0.0132243,13.8221,0.0092147,0.00094165
1.10917,1.09588,0.0132302,13.7254,0.00915027,0.000941684
1.11686,1.10357,0.013236,13.6295,0.00908631,0.000941718
1.1246,1.1113,0.0132418,13.5342,0.00902281,0.000941753
1.1324,1.11909,0.0132477,13.4397,0.00895976,0.000941789
1.14025,1.12694,0.0132536,13.3458,0.00889716,0.000941825
1.14815,1.13484,0.0132595,13.2525,0.00883501,0.000941861
1.15611,1.14279,0.0132655,13.16,0.0087733,0.000941898
1.16413,1.1508,0.0132714,13.0681,0.00871204,0.000941936
1.1722,1.15886,0.0132774,12.9768,0.00865121,0.000941973
1.18032,1.16698,0.0132834,12.8862,0.00859082,0.000942012
1.1885,1.17516,0.0132894,12.7963,0.00853085,0.000942051
1.19674,1.18339,0.0132954,12.707,0.00847132,0.00094209
1.20504,1.19168,0.0133015,12.6183,0.00841221,0.000942129
1.21339,1.20003,0.0133075,12.5303,0.00835352,0.000942169
1.2218,1.20844,0.0133136,12.4429,0.00829524,0.000942209
1.23027,1.2169,0.0133197,12.3561,0.00823739,0.00094225
1.2388,1.22542,0.0133258,12.2699,0.00817994,0.000942291
1.24738,1.234,0.013332,12.1844,0.00812291,0.000942332
1.25603,1.24264,0.0133381,12.0994,0.00806628,0.000942374
1.26474,1.25135,0.0133443,12.0151,0.00801005,0.000942416
1.2735,1.26011,0.0133505,11.9313,0.00795422,0.000942458
1.28233,1.26893,0.0133567,11.8482,0.00789878,0.000942501
1.29122,1.27781,0.0133629,11.7656,0.00784375,0.000942544
1.30017,1.28676,0.0133691,11.6837,0.0077891,0.000942587
1.30918,1.29576,0.0133754,11.6023,0.00773484,0.000942631
1.31826,1.30483,0.0133816,11.5215,0.00768096,0.000942674
