p_initial,p_final,e_loss,x_sigma,dir_sigma,e_sigma
1.94089,1.91556,0.0252837,8.83199,0.00589506,0.00160267
1.95434,1.92901,0.0252952,8.77062,0.00585409,0.00160288
1.96789,1.94254,0.0253068,8.70967,0.0058134,0.00160309
1.98153,1.95617,0.0253184,8.64916,0.00577301,0.0016033
1.99526,1.9699,0.0253299,8.58907,0.00573289,0.0016035
2.00909,1.98372,0.0253415,8.52941,0.00569306,0.00160371
2.02302,1.99763,0.0253531,8.47016,0.00565351,0.00160392
2.03704,2.01164,0.0253647,8.41133,0.00561424,0.00160412
2.05116,2.02575,0.0253764,8.35291,0.00557525,0.00160432
2.06538,2.03996,0.025388,8.29491,0.00553652,0.00160452
2.0797,2.05426,0.0253996,8.23731,0.00549807,0.00160473
2.09411,2.06867,0.0254113,8.18011,0.00545989,0.00160493
2.10863,2.08317,0.0254229,8.12332,0.00542198,0.00160513
2.12324,2.09778,0.0254346,8.06692,0.00538433,0.00160533
2.13796,2.11248,0.0254462,8.01092,0.00534695,0.00160552
2.15278,2.12729,0.0254579,7.95531,0.00530983,0.00160572
2.1677,2.1422,0.0254696,7.9001,0.00527297,0.00160592
2.18273,2.15722,0.0254813,7.84527,0.00523637,0.00160611
2.19786,2.17234,0.025493,7.79082,0.00520003,0.0016063
2.21309,2.18756,0.0255047,7.73676,0.00516394,0.0016065
2.22844,2.20289,0.0255164,7.68308,0.0051281,0.00160669
2.24388,2.21833,0.0255281,7.62977,0.00509252,0.00160688
2.25944,2.23387,0.0255398,7.57683,0.00505718,0.00160707
2.2751,2.24952,0.0255515,7.52427,0.0050221,0.00160726
2.29087,2.26528,0.0255632,7.47207,0.00498725,0.00160745
2.30675,2.28115,0.025575,7.42025,0.00495266,0.00160764
2.32274,2.29712,0.0255867,7.36878,0.0049183,0.00160783
2.33884,2.31321,0.0255984,7.31767,0.00488419,0.00160801
2.35505,2.32941,0.0256102,7.26692,0.00485031,0.0016082
2.37137,2.34573,0.0256219,7.21653,0.00481667,0.00160838
2.38781,2.36215,0.0256337,7.16649,0.00478327,0.00160857
2.40436,2.37869,0.0256455,7.1168,0.0047501,0.00160875
2.42103,2.39535,0.0256572,7.06745,0.00471716,0.00160893
2.43781,2.41212,0.025669,7.01845,0.00468445,0.00160911
2.45471,2.429,0.0256808,6.9698,0.00465197,0.00160929
2.47172,2.44601,0.0256925,6.92148,0.00461972,0.00160947
2.48886,2.46313,0.0257043,6.8735,0.00458769,0.00160965
2.50611,2.48037,0.0257161,6.82586,0.00455589,0.00160983
2.52348,2.49773,0.0257279,6.77855,0.00452431,0.00161
2.54097,2.51521,0.0257397,6.73158,0.00449296,0.00161018
2.55859,2.53281,0.0257515,6.68492,0.00446182,0.00161035
2.57632,2.55054,0.0257633,6.6386,0.00443089,0.00161053
2.59418,2.56838,0.0257751,6.5926,0.00440019,0.0016107
2.61216,2.58635,0.0257869,6.54692,0.0043697,0.00161087
2.63027,2.60445,0.0257987,6.50156,0.00433942,0.00161105
2.6485,2.62267,0.0258105,6.45652,0.00430935,0.00161122
2.66686,2.64102,0.0258223,6.41179,0.00427949,0.00161139
2.68534,2.65949,0.0258341,6.36737,0.00424985,0.00161155
2.70396,2.67809,0.0258459,6.32326,0.0042204,0.00161172
2.7227,2.69682,0.0258578,6.27946,0.00419117,0.00161189
2.74157,2.71569,0.0258696,6.23597,0.00416213,0.00161206
2.76058,2.73468,0.0258814,6.19278,0.0041333,0.00161222
2.77971,2.7538,0.0258932,6.14989,0.00410468,0.00161239
2.79898,2.77306,0.0259051,6.1073,0.00407625,0.00161255
2.81838,2.79245,0.0259169,6.06501,0.00404802,0.00161271
2.83792,2.81197,0.0259287,6.02301,0.00401998,0.00161288
2.85759,2.83163,0.0259405,5.98131,0.00399215,0.00161304
2.8774,2.85143,0.0259524,5.93989,0.0039645,0.0016132
2.89734,2.87136,0.0259642,5.89877,0.00393705,0.00161336
2.91743,2.89143,0.025976,5.85793,0.00390979,0.00161352
2.93765,2.91164,0.0259879,5.81738,0.00388272,0.00161368
2.95801,2.932,0.0259997,5.7771,0.00385584,0.00161383
2.97852,2.95249,0.0260115,5.73711,0.00382915,0.00161399
2.99916,2.97312,0.0260234,5.6974,0.00380264,0.00161415
3.01995,2.9939,0.0260352,5.65797,0.00377632,0.0016143
3.04089,3.01482,0.0260471,5.61881,0.00375018,0.00161445
3.06196,3.03589,0.0260589,5.57992,0.00372422,0.00161461
3.08319,3.0571,0.0260707,5.5413,0.00369845,0.00161476
3.10456,3.07846,0.0260826,5.50295,0.00367285,0.00161491
3.12608,3.09997,0.0260944,5.46487,0.00364743,0.00161506
3.14775,3.12163,0.0261062,5.42706,0.00362219,0.00161521
3.16957,3.14343,0.0261181,5.3895,0.00359712,0.00161536
3.19154,3.16539,0.0261299,5.35221,0.00357223,0.00161551
3.21366,3.1875,0.0261418,5.31518,0.00354751,0.00161566
3.23594,3.20977,0.0261536,5.27841,0.00352297,0.00161581
3.25837,3.23219,0.0261654,5.24189,0.00349859,0.00161595
3.28095,3.25476,0.0261773,5.20563,0.00347439,0.0016161
3.3037,3.27749,0.0261891,5.16962,0.00345035,0.00161624
3.3266,3.30038,0.0262009,5.13385,0.00342648,0.00161639
3.34965,3.32343,0.0262128,5.09834,0.00340278,0.00161653
3.37287,3.34664,0.0262246,5.06308,0.00337924,0.00161667
3.39625,3.37,0.0262364,5.02806,0.00335586,0.00161682
3.41979,3.39353,0.0262483,4.99328,0.00333265,0.00161696
3.4435,3.41723,0.0262601,4.95875,0.0033096,0.0016171
3.46737,3.44108,0.0262719,4.92445,0.00328671,0.00161724
3.4914,3.46511,0.0262838,4.8904,0.00326398,0.00161737
3.5156,3.4893,0.0262956,4.85658,0.0032414,0.00161751
3.53997,3.51365,0.0263074,4.82299,0.00321899,0.00161765
3.56451,3.53818,0.0263192,4.78964,0.00319673,0.00161779
3.58922,3.56288,0.0263311,4.75652,0.00317462,0.00161792
3.6141,3.58774,0.0263429,4.72364,0.00315267,0.00161806
3.63915,3.61278,0.0263547,4.69098,0.00313087,0.00161819
3.66438,3.638,0.0263665,4.65854,0.00310922,0.00161833
3.68978,3.66339,0.0263783,4.62633,0.00308772,0.00161846
3.71535,3.68895,0.0263902,4.59435,0.00306638,0.00161859
3.74111,3.71469,0.026402,4.56259,0.00304518,0.00161872
3.76704,3.74061,0.0264138,4.53105,0.00302412,0.00161885
3.79315,3.76671,0.0264256,4.49973,0.00300322,0.00161898
3.81944,3.793,0.0264374,4.46862,0.00298246,0.00161911
3.84592,3.81946,0.0264492,4.43773,0.00296184,0.00161924
3.87258,3.84611,0.026461,4.40706,0.00294136,0.00161937
3.89942,3.87294,0.0264728,4.3766,0.00292103,0.0016195
3.92645,3.89996,0.0264846,4.34635,0.00290084,0.00161962
3.95367,3.92716,0.0264964,4.31631,0.00288079,0.00161975
3.98107,3.95455,0.0265082,4.28648,0.00286088,0.00161988
4.00867,3.98214,0.02652,4.25686,0.00284111,0.00162
4.03645,4.00991,0.0265318,4.22744,0.00282147,0.00162012
4.06443,4.03788,0.0265435,4.19822,0.00280197,0.00162025
4.09261,4.06604,0.0265553,4.16921,0.00278261,0.00162037
4.12098,4.0944,0.0265671,4.1404,0.00276338,0.00162049
4.14954,4.12295,0.0265789,4.11179,0.00274428,0.00162061
4.1783,4.1517,0.0265906,4.08338,0.00272532,0.00162073
4.20727,4.18066,0.0266024,4.05517,0.00270649,0.00162085
4.23643,4.20981,0.0266142,4.02715,0.00268779,0.00162097
4.2658,4.23916,0.026626,3.99932,0.00266922,0.00162109
4.29536,4.26872,0.0266377,3.97169,0.00265077,0.00162121
4.32514,4.29848,0.0266495,3.94425,0.00263246,0.00162133
4.35512,4.32845,0.0266612,3.917,0.00261427,0.00162144
4.38531,4.35863,0.026673,3.88994,0.00259621,0.00162156
4.4157,4.38901,0.0266847,3.86307,0.00257827,0.00162167
4.44631,4.41961,0.0266965,3.83639,0.00256046,0.00162179
4.47713,4.45042,0.0267082,3.80989,0.00254277,0.0016219
4.50817,4.48144,0.02672,3.78357,0.00252521,0.00162202
4.53942,4.51268,0.0267317,3.75743,0.00250777,0.00162213
4.57088,4.54413,0.0267434,3.73148,0.00249044,0.00162224
4.60257,4.5758,0.0267552,3.70571,0.00247324,0.00162235
4.63447,4.6077,0.0267669,3.68011,0.00245616,0.00162246
4.66659,4.63981,0.0267786,3.65469,0.00243919,0.00162257
4.69894,4.67214,0.0267903,3.62945,0.00242234,0.00162268
4.73151,4.7047,0.026802,3.60439,0.00240561,0.00162279
4.76431,4.73749,0.0268138,3.57949,0.002389,0.0016229
4.79733,4.7705,0.0268255,3.55477,0.0023725,0.00162301
4.83059,4.80374,0.0268372,3.53023,0.00235611,0.00162311
4.86407,4.83722,0.0268489,3.50585,0.00233984,0.00162322
4.89779,4.87092,0.0268606,3.48164,0.00232368,0.00162333
4.93174,4.90486,0.0268723,3.4576,0.00230764,0.00162343
4.96592,4.93903,0.0268839,3.43372,0.0022917,0.00162354
5.00035,4.97344,0.0268956,3.41001,0.00227588,0.00162364
5.03501,5.00809,0.0269073,3.38646,0.00226016,0.00162375
5.06991,5.04298,0.026919,3.36308,0.00224455,0.00162385
5.10505,5.07811,0.0269307,3.33986,0.00222906,0.00162395
5.14044,5.11349,0.0269423,3.3168,0.00221367,0.00162405
5.17607,5.14911,0.026954,3.2939,0.00219838,0.00162415
5.21195,5.18498,0.0269657,3.27116,0.0021832,0.00162425
5.24807,5.22109,0.0269773,3.24858,0.00216813,0.00162435
5.28445,5.25746,0.026989,3.22615,0.00215316,0.00162445
5.32108,5.29408,0.0270006,3.20388,0.00213829,0.00162455
5.35797,5.33095,0.0270123,3.18176,0.00212353,0.00162465
5.39511,5.36808,0.0270239,3.15979,0.00210887,0.00162475
5.4325,5.40546,0.0270356,3.13798,0.00209431,0.00162485
5.47016,5.44311,0.0270472,3.11632,0.00207985,0.00162494
5.50808,5.48101,0.0270588,3.09481,0.0020655,0.00162504
5.54626,5.51918,0.0270704,3.07345,0.00205124,0.00162513
5.5847,5.55762,0.0270821,3.05223,0.00203708,0.00162523
5.62341,5.59631,0.0270937,3.03116,0.00202302,0.00162532
5.66239,5.63528,0.0271053,3.01024,0.00200905,0.00162542
5.70164,5.67452,0.0271169,2.98946,0.00199519,0.00162551
5.74116,5.71403,0.0271285,2.96883,0.00198141,0.0016256
5.78096,5.75382,0.0271401,2.94834,0.00196774,0.0016257
5.82103,5.79388,0.0271517,2.92799,0.00195416,0.00162579
5.86138,5.83421,0.0271633,2.90778,0.00194067,0.00162588
5.90201,5.87483,0.0271749,2.88771,0.00192727,0.00162597
5.94292,5.91573,0.0271865,2.86778,0.00191397,0.00162606
5.98412,5.95691,0.0271981,2.84799,0.00190076,0.00162615
6.0256,5.99838,0.0272096,2.82834,0.00188765,0.00162624
6.06736,6.04014,0.0272212,2.80882,0.00187462,0.00162633
6.10942,6.08218,0.0272328,2.78944,0.00186168,0.00162641
6.15177,6.12452,0.0272443,2.77019,0.00184883,0.0016265
6.19441,6.16715,0.0272559,2.75107,0.00183608,0.00162659
6.23735,6.21008,0.0272674,2.73209,0.0018234,0.00162668
6.28058,6.2533,0.027279,2.71324,0.00181082,0.00162676
6.32412,6.29682,0.0272905,2.69451,0.00179833,0.00162685
6.36796,6.34065,0.0273021,2.67592,0.00178592,0.00162693
6.4121,6.38478,0.0273136,2.65746,0.00177359,0.00162702
6.45654,6.42921,0.0273251,2.63912,0.00176136,0.0016271
6.5013,6.47396,0.0273367,2.62091,0.0017492,0.00162718
6.54636,6.51901,0.0273482,2.60283,0.00173713,0.00162727
6.59174,6.56438,0.0273597,2.58487,0.00172515,0.00162735
6.63743,6.61006,0.0273712,2.56704,0.00171324,0.00162743
6.68344,6.65605,0.0273827,2.54933,0.00170142,0.00162751
6.72977,6.70237,0.0273942,2.53174,0.00168968,0.00162759
6.77642,6.74901,0.0274057,2.51427,0.00167803,0.00162768
6.82339,6.79597,0.0274172,2.49692,0.00166645,0.00162776
6.87068,6.84325,0.0274287,2.4797,0.00165495,0.00162784
6.91831,6.89087,0.0274402,2.46259,0.00164353,0.00162791
6.96627,6.93881,0.0274517,2.4456,0.0016322,0.00162799
7.01455,6.98709,0.0274632,2.42873,0.00162094,0.00162807
7.06318,7.0357,0.0274746,2.41198,0.00160975,0.00162815
7.11214,7.08465,0.0274861,2.39534,0.00159865,0.00162823
7.16143,7.13393,0.0274976,2.37881,0.00158762,0.0016283
7.21107,7.18356,0.027509,2.36241,0.00157667,0.00162838
7.26106,7.23354,0.0275205,2.34611,0.00156579,0.00162846
7.31139,7.28386,0.027532,2.32993,0.00155499,0.00162853
7.36207,7.33452,0.0275434,2.31385,0.00154426,0.00162861
7.4131,7.38554,0.0275548,2.29789,0.00153361,0.00162868
7.46449,7.43692,0.0275663,2.28204,0.00152303,0.00162875
7.51623,7.48865,0.0275777,2.2663,0.00151253,0.00162883
7.56833,7.54074,0.0275892,2.25067,0.00150209,0.0016289
7.62079,7.59319,0.0276006,2.23515,0.00149173,0.00162897
7.67361,7.646,0.027612,2.21973,0.00148144,0.00162905
7.72681,7.69918,0.0276234,2.20442,0.00147123,0.00162912
7.78037,7.75273,0.0276348,2.18922,0.00146108,0.00162919
7.8343,7.80665,0.0276463,2.17412,0.001451,0.00162926
7.8886,7.86094,0.0276577,2.15912,0.00144099,0.00162933
7.94328,7.91561,0.0276691,2.14423,0.00143105,0.0016294
7.99834,7.97066,0.0276805,2.12945,0.00142119,0.00162947
8.05378,8.02608,0.0277018,2.11476,0.00141138,0.00162954
8.10961,8.08189,0.0277159,2.10018,0.00140165,0.00162961
8.16582,8.13809,0.0277301,2.08569,0.00139198,0.00162967
8.22243,8.19468,0.0277442,2.07131,0.00138238,0.00162974
8.27942,8.25166,0.0277584,2.05703,0.00137285,0.00162981
8.33681,8.30904,0.0277726,2.04284,0.00136338,0.00162987
8.3946,8.36681,0.0277868,2.02875,0.00135398,0.00162994
8.45279,8.42499,0.027801,2.01476,0.00134464,0.00163001
8.51138,8.48356,0.0278152,2.00087,0.00133537,0.00163007
8.57038,8.54255,0.0278294,1.98707,0.00132616,0.00163013
8.62979,8.60194,0.0278437,1.97337,0.00131702,0.0016302
8.6896,8.66174,0.027858,1.95976,0.00130794,0.00163026
8.74984,8.72196,0.0278722,1.94625,0.00129892,0.00163033
8.81049,8.7826,0.0278865,1.93283,0.00128996,0.00163039
8.87156,8.84366,0.0279009,1.9195,0.00128107,0.00163045
8.93305,8.90514,0.0279152,1.90627,0.00127223,0.00163052
8.99498,8.96704,0.0279296,1.89312,0.00126346,0.00163058
9.05733,9.02938,0.0279439,1.88007,0.00125475,0.00163064
9.12011,9.09215,0.0279583,1.86711,0.0012461,0.0016307
9.18333,9.15535,0.0279727,1.85424,0.00123751,0.00163076
9.24698,9.21899,0.0279872,1.84145,0.00122897,0.00163082
9.31108,9.28308,0.0280016,1.82875,0.0012205,0.00163088
9.37562,9.3476,0.0280161,1.81615,0.00121208,0.00163094
9.44061,9.41258,0.0280306,1.80362,0.00120373,0.001631
9.50605,9.478,0.0280451,1.79119,0.00119543,0.00163106
9.57194,9.54388,0.0280596,1.77884,0.00118719,0.00163112
9.63829,9.61021,0.0280741,1.76658,0.001179,0.00163118
9.7051,9.67701,0.0280887,1.7544,0.00117087,0.00163124
9.77237,9.74427,0.0281033,1.7423,0.0011628,0.00163129
9.84011,9.81199,0.0281179,1.73029,0.00115478,0.00163135
9.90832,9.88019,0.0281325,1.71836,0.00114682,0.00163141
9.977,9.94885,0.0281471,1.70652,0.00113892,0.00163146
10.0462,10.018,0.0281618,1.69475,0.00113106,0.00163152
10.1158,10.0876,0.0281765,1.68307,0.00112327,0.00163158
10.1859,10.1577,0.0281912,1.67147,0.00111552,0.00163163
10.2565,10.2283,0.0282059,1.65994,0.00110783,0.00163169
10.3276,10.2994,0.0282206,1.6485,0.00110019,0.00163174
10.3992,10.371,0.0282354,1.63714,0.00109261,0.0016318
10.4713,10.443,0.0282502,1.62585,0.00108508,0.00163185
10.5439,10.5156,0.028265,1.61464,0.0010776,0.0016319
10.617,10.5887,0.0282798,1.60351,0.00107017,0.00163196
10.6905,10.6623,0.0282947,1.59246,0.00106279,0.00163201
10.7647,10.7363,0.0283096,1.58148,0.00105547,0.00163206
10.8393,10.8109,0.0283245,1.57058,0.00104819,0.00163212
10.9144,10.8861,0.0283394,1.55975,0.00104097,0.00163217
10.9901,10.9617,0.0283543,1.549,0.00103379,0.00163222
11.0662,11.0379,0.0283693,1.53833,0.00102666,0.00163227
11.1429,11.1146,0.0283843,1.52772,0.00101959,0.00163232
11.2202,11.1918,0.0283993,1.51719,0.00101256,0.00163238
11.298,11.2695,0.0284143,1.50673,0.00100558,0.00163243
11.3763,11.3478,0.0284294,1.49635,0.000998648,0.00163248
11.4551,11.4267,0.0284445,1.48604,0.000991765,0.00163253
11.5345,11.5061,0.0284596,1.47579,0.000984929,0.00163258
11.6145,11.586,0.0284747,1.46562,0.00097814,0.00163263
11.695,11.6665,0.0284899,1.45552,0.000971398,0.00163268
11.7761,11.7476,0.0285051,1.44549,0.000964703,0.00163272
11.8577,11.8292,0.0285203,1.43552,0.000958053,0.00163277
11.9399,11.9113,0.0285356,1.42563,0.00095145,0.00163282
12.0226,11.9941,0.0285508,1.4158,0.000944892,0.00163287
12.106,12.0774,0.0285661,1.40605,0.00093838,0.00163292
12.1899,12.1613,0.0285814,1.39636,0.000931912,0.00163296
12.2744,12.2458,0.0285968,1.38673,0.00092549,0.00163301
12.3595,12.3309,0.0286122,1.37718,0.000919111,0.00163306
12.4451,12.4165,0.0286276,1.36768,0.000912776,0.0016331
12.5314,12.5028,0.028643,1.35826,0.000906486,0.00163315
12.6183,12.5896,0.0286585,1.3489,0.000900238,0.0016332
12.7057,12.6771,0.028674,1.3396,0.000894034,0.00163324
12.7938,12.7651,0.0286895,1.33037,0.000887872,0.00163329
12.8825,12.8538,0.028705,1.3212,0.000881753,0.00163333
12.9718,12.9431,0.0287206,1.3121,0.000875676,0.00163338
13.0617,13.033,0.0287362,1.30305,0.000869641,0.00163342
13.1522,13.1235,0.0287519,1.29407,0.000863648,0.00163347
13.2434,13.2146,0.0287675,1.28516,0.000857696,0.00163351
13.3352,13.3064,0.0287832,1.2763,0.000851785,0.00163355
13.4276,13.3988,0.028799,1.2675,0.000845915,0.0016336
13.5207,13.4919,0.0288147,1.25877,0.000840086,0.00163364
13.6144,13.5856,0.0288305,1.25009,0.000834296,0.00163368
13.7088,13.68,0.0288463,1.24148,0.000828547,0.00163373
13.8038,13.775,0.0288622,1.23292,0.000822837,0.00163377
13.8995,13.8706,0.0288781,1.22443,0.000817167,0.00163381
13.9959,13.967,0.028894,1.21599,0.000811536,0.00163385
14.0929,14.064,0.02891,1.20761,0.000805943,0.00163389
14.1906,14.1616,0.0289259,1.19929,0.000800389,0.00163394
14.2889,14.26,0.028942,1.19103,0.000794874,0.00163398
14.388,14.359,0.028958,1.18282,0.000789396,0.00163402
14.4877,14.4587,0.0289741,1.17467,0.000783957,0.00163406
14.5881,14.5592,0.0289902,1.16657,0.000778555,0.0016341
14.6893,14.6603,0.0290064,1.15853,0.00077319,0.00163414
14.7911,14.7621,0.0290226,1.15055,0.000767862,0.00163418
14.8936,14.8646,0.0290388,1.14262,0.000762571,0.00163422
14.9968,14.9678,0.0290551,1.13475,0.000757316,0.00163426
15.1008,15.0717,0.0290714,1.12693,0.000752098,0.0016343
15.2055,15.1764,0.0290877,1.11917,0.000746915,0.00163434
15.3109,15.2818,0.0291041,1.11145,0.000741769,0.00163437
15.417,15.3879,0.0291205,1.1038,0.000736657,0.00163441
15.5239,15.4947,0.029137,1.09619,0.000731582,0.00163445
15.6315,15.6023,0.0291535,1.08864,0.000726541,0.00163449
15.7398,15.7107,0.02917,1.08114,0.000721535,0.00163453
15.8489,15.8197,0.0291866,1.07369,0.000716563,0.00163456
15.9588,15.9296,0.0292032,1.06629,0.000711626,0.0016346
16.0694,16.0402,0.0292198,1.05894,0.000706722,0.00163464
16.1808,16.1516,0.0292365,1.05165,0.000701853,0.00163467
16.293,16.2637,0.0292532,1.0444,0.000697017,0.00163471
16.4059,16.3766,0.02927,1.0372,0.000692214,0.00163475
16.5196,16.4903,0.0292868,1.03006,0.000687445,0.00163478
16.6341,16.6048,0.0293036,1.02296,0.000682709,0.00163482
16.7494,16.7201,0.0293205,1.01591,0.000678005,0.00163485
16.8655,16.8362,0.0293375,1.00891,0.000673333,0.00163489
16.9824,16.9531,0.0293544,1.00196,0.000668694,0.00163492
17.1002,17.0708,0.0293715,0.995059,0.000664087,0.00163496
17.2187,17.1893,0.0293885,0.988204,0.000659511,0.00163499
17.338,17.3086,0.0294056,0.981395,0.000654968,0.00163503
17.4582,17.4288,0.0294228,0.974634,0.000650455,0.00163506
17.5792,17.5498,0.02944,0.967919,0.000645974,0.0016351
17.7011,17.6716,0.0294572,0.96125,0.000641523,0.00163513
17.8238,17.7943,0.0294745,0.954628,0.000637103,0.00163516
17.9473,17.9178,0.0294918,0.948051,0.000632714,0.0016352
18.0717,18.0422,0.0295092,0.94152,0.000628355,0.00163523
18.197,18.1675,0.0295266,0.935033,0.000624026,0.00163526
18.3231,18.2936,0.0295441,0.928591,0.000619726,0.0016353
18.4502,18.4206,0.0295616,0.922194,0.000615457,0.00163533
18.578,18.5485,0.0295792,0.915841,0.000611217,0.00163536
18.7068,18.6772,0.0295968,0.909531,0.000607006,0.00163539
