p_initial,p_final,e_loss,x_sigma,dir_sigma,e_sigma
1,0.997657,0.00233049,4.94019,0.00329346,0.000165103
1.00693,1.00459,0.00233276,4.90575,0.00327049,0.000165083
1.01391,1.01156,0.00233504,4.87155,0.00324769,0.000165063
1.02094,1.01859,0.00233732,4.83759,0.00322505,0.000165043
1.02802,1.02566,0.00233961,4.80387,0.00320258,0.000165024
1.03514,1.03279,0.0023419,4.7704,0.00318026,0.000165005
1.04232,1.03996,0.00234419,4.73716,0.0031581,0.000164986
1.04954,1.04718,0.00234649,4.70416,0.0031361,0.000164967
1.05682,1.05444,0.00236315,4.67143,0.00311428,0.000164945
1.06414,1.06169,0.00243617,4.63906,0.0030927,0.000164905
1.07152,1.06907,0.00243712,4.60675,0.00307116,0.000164888
1.07895,1.0765,0.00243807,4.57468,0.00304978,0.000164871
1.08643,1.08398,0.00243903,4.54283,0.00302855,0.000164854
1.09396,1.0915,0.00243999,4.51121,0.00300747,0.000164838
1.10154,1.09909,0.00244095,4.47981,0.00298653,0.000164822
1.10917,1.10672,0.00244192,4.44864,0.00296575,0.000164807
1.11686,1.11441,0.00244289,4.41768,0.00294512,0.000164791
1.1246,1.12215,0.00244387,4.38695,0.00292463,0.000164776
1.1324,1.12994,0.00244485,4.35643,0.00290428,0.000164761
1.14025,1.13779,0.00244583,4.32614,0.00288409,0.000164746
1.14815,1.1457,0.00244682,4.29605,0.00286403,0.000164731
1.15611,1.15365,0.00244781,4.26618,0.00284412,0.000164717
1.16413,1.16167,0.00244881,4.23652,0.00282434,0.000164703
1.1722,1.16974,0.00244981,4.20707,0.00280471,0.000164689
1.18032,1.17786,0.00245081,4.17783,0.00278521,0.000164676
1.1885,1.18604,0.00245181,4.1488,0.00276586,0.000164662
1.19674,1.19428,0.00245282,4.11997,0.00274664,0.000164649
1.20504,1.20257,0.00245383,4.09134,0.00272756,0.000164636
1.21339,1.21092,0.00245485,4.06292,0.00270861,0.000164623
1.2218,1.21933,0.00245587,4.0347,0.00268979,0.000164611
1.23027,1.2278,0.00245689,4.00667,0.00267111,0.000164598
1.2388,1.23633,0.00245791,3.97885,0.00265256,0.000164586
1.24738,1.24492,0.00245894,3.95122,0.00263414,0.000164574
1.25603,1.25356,0.00245997,3.92379,0.00261585,0.000164562
1.26474,1.26227,0.00246101,3.89654,0.00259769,0.000164551
1.2735,1.27103,0.00246204,3.8695,0.00257966,0.000164539
1.28233,1.27986,0.00246308,3.84264,0.00256175,0.000164528
1.29122,1.28875,0.00246412,3.81597,0.00254398,0.000164517
1.30017,1.2977,0.00246517,3.78949,0.00252632,0.000164506
1.30918,1.30671,0.00246622,3.7632,0.00250879,0.000164496
1.31826,1.31578,0.00246727,3.73709,0.00249139,0.000164485
1.32739,1.32492,0.00246832,3.71116,0.0024741,0.000164475
1.3366,1.33412,0.00246938,3.68542,0.00245694,0.000164464
1.34586,1.34338,0.00247044,3.65986,0.0024399,0.000164455
1.35519,1.35271,0.0024715,3.63447,0.00242298,0.000164445
1.36458,1.3621,0.00247256,3.60927,0.00240618,0.000164435
1.37404,1.37156,0.00247363,3.58424,0.00238949,0.000164425
1.38357,1.38108,0.0024747,3.55939,0.00237292,0.000164416
1.39316,1.39067,0.00247577,3.53472,0.00235647,0.000164407
1.40281,1.40033,0.00247684,3.51021,0.00234014,0.000164398
1.41254,1.41005,0.00247792,3.48588,0.00232392,0.000164389
1.42233,1.41984,0.002479,3.46172,0.00230781,0.00016438
1.43219,1.4297,0.00248008,3.43773,0.00229182,0.000164372
1.44212,1.43963,0.00248116,3.41391,0.00227594,0.000164363
1.45211,1.44962,0.00248224,3.39025,0.00226017,0.000164355
1.46218,1.45969,0.00248333,3.36677,0.00224451,0.000164347
1.47231,1.46982,0.00248442,3.34344,0.00222896,0.000164339
1.48252,1.48003,0.00248551,3.32028,0.00221352,0.000164331
1.49279,1.4903,0.0024866,3.29728,0.00219818,0.000164323
1.50314,1.50065,0.0024877,3.27444,0.00218296,0.000164315
1.51356,1.51107,0.00248879,3.25177,0.00216784,0.000164308
1.52405,1.52156,0.00248989,3.22925,0.00215283,0.0001643
1.53462,1.53212,0.00249099,3.20689,0.00213792,0.000164293
1.54525,1.54276,0.0024921,3.18468,0.00212312,0.000164286
1.55597,1.55347,0.0024932,3.16263,0.00210842,0.000164279
1.56675,1.56425,0.00249431,3.14074,0.00209382,0.000164272
1.57761,1.57511,0.00249542,3.11899,0.00207932,0.000164265
1.58855,1.58604,0.00249653,3.0974,0.00206493,0.000164258
1.59956,1.59705,0.00249764,3.07596,0.00205064,0.000164252
1.61065,1.60814,0.00249875,3.05467,0.00203645,0.000164246
1.62181,1.6193,0.00249987,3.03353,0.00202235,0.000164239
1.63305,1.63055,0.00250098,3.01254,0.00200836,0.000164233
1.64437,1.64186,0.0025021,2.9917,0.00199446,0.000164227
1.65577,1.65326,0.00250322,2.97099,0.00198066,0.000164221
1.66725,1.66474,0.00250434,2.95044,0.00196696,0.000164215
1.6788,1.67629,0.00250546,2.93003,0.00195335,0.000164209
1.69044,1.68793,0.00250659,2.90976,0.00193983,0.000164203
1.70216,1.69965,0.00250771,2.88963,0.00192642,0.000164198
1.71396,1.71144,0.00250884,2.86964,0.00191309,0.000164192
1.72584,1.72332,0.00250997,2.84979,0.00189986,0.000164187
1.7378,1.73529,0.0025111,2.83008,0.00188672,0.000164182
1.74985,1.74733,0.00251223,2.81051,0.00187367,0.000164177
1.76198,1.75946,0.00251336,2.79107,0.00186071,0.000164171
1.77419,1.77167,0.0025145,2.77177,0.00184785,0.000164166
1.78649,1.78397,0.00251563,2.75261,0.00183507,0.000164161
1.79887,1.79635,0.00251677,2.73358,0.00182238,0.000164157
1.81134,1.80882,0.00251791,2.71468,0.00180978,0.000164152
1.8239,1.82137,0.00251905,2.69591,0.00179727,0.000164147
1.83654,1.83401,0.00252019,2.67727,0.00178484,0.000164143
1.84927,1.84674,0.00252133,2.65876,0.00177251,0.000164138
1.86209,1.85956,0.00252247,2.64038,0.00176025,0.000164134
1.87499,1.87247,0.00252361,2.62213,0.00174809,0.000164129
1.88799,1.88546,0.00252476,2.60401,0.001736,0.000164125
1.90108,1.89855,0.0025259,2.58601,0.00172401,0.000164121
1.91426,1.91173,0.00252705,2.56814,0.00171209,0.000164117
1.92752,1.92499,0.0025282,2.55039,0.00170026,0.000164113
1.94089,1.93835,0.00252935,2.53277,0.00168851,0.000164109
1.95434,1.95181,0.0025305,2.51527,0.00167684,0.000164105
1.96789,1.96535,0.00253165,2.49789,0.00166526,0.000164101
1.98153,1.97899,0.0025328,2.48063,0.00165375,0.000164098
1.99526,1.99272,0.00253395,2.46349,0.00164232,0.000164094
2.00909,2.00655,0.00253511,2.44647,0.00163098,0.00016409
2.02302,2.02048,0.00253626,2.42957,0.00161971,0.000164087
2.03704,2.0345,0.00253742,2.41279,0.00160852,0.000164083
2.05116,2.04862,0.00253857,2.39612,0.00159741,0.00016408
2.06538,2.06284,0.00253973,2.37957,0.00158638,0.000164077
2.0797,2.07715,0.00254089,2.36313,0.00157542,0.000164073
2.09411,2.09157,0.00254205,2.34681,0.00156454,0.00016407
2.10863,2.10608,0.00254321,2.3306,0.00155373,0.000164067
2.12324,2.1207,0.00254437,2.31451,0.001543,0.000164064
2.13796,2.13541,0.00254553,2.29852,0.00153234,0.000164061
2.15278,2.15023,0.00254669,2.28265,0.00152176,0.000164058
2.1677,2.16515,0.00254785,2.26689,0.00151125,0.000164055
2.18273,2.18018,0.00254902,2.25123,0.00150082,0.000164052
2.19786,2.19531,0.00255018,2.23569,0.00149046,0.000164049
2.21309,2.21054,0.00255134,2.22025,0.00148016,0.000164047
2.22844,2.22588,0.00255251,2.20492,0.00146994,0.000164044
2.24388,2.24133,0.00255367,2.1897,0.0014598,0.000164041
2.25944,2.25688,0.00255484,2.17458,0.00144972,0.000164039
2.2751,2.27254,0.00255601,2.15957,0.00143971,0.000164036
2.29087,2.28831,0.00255718,2.14466,0.00142977,0.000164034
2.30675,2.30419,0.00255834,2.12985,0.0014199,0.000164032
2.32274,2.32017,0.00255951,2.11515,0.0014101,0.000164029
2.33884,2.33627,0.00256068,2.10055,0.00140036,0.000164027
2.35505,2.35248,0.00256185,2.08605,0.0013907,0.000164025
2.37137,2.36881,0.00256302,2.07165,0.0013811,0.000164022
2.38781,2.38524,0.00256419,2.05735,0.00137157,0.00016402
2.40436,2.40179,0.00256536,2.04315,0.0013621,0.000164018
2.42103,2.41846,0.00256653,2.02905,0.0013527,0.000164016
2.43781,2.43524,0.00256771,2.01505,0.00134336,0.000164014
2.45471,2.45214,0.00256888,2.00114,0.00133409,0.000164012
2.47172,2.46915,0.00257005,1.98733,0.00132489,0.00016401
2.48886,2.48628,0.00257122,1.97362,0.00131574,0.000164008
2.50611,2.50353,0.0025724,1.96,0.00130666,0.000164006
2.52348,2.5209,0.00257357,1.94648,0.00129765,0.000164005
2.54097,2.5384,0.00257475,1.93305,0.00128869,0.000164003
2.55859,2.55601,0.00257592,1.91971,0.0012798,0.000164001
2.57632,2.57374,0.0025771,1.90646,0.00127097,0.000163999
2.59418,2.5916,0.00257827,1.89331,0.0012622,0.000163998
2.61216,2.60958,0.00257945,1.88024,0.00125349,0.000163996
2.63027,2.62769,0.00258062,1.86727,0.00124485,0.000163994
2.6485,2.64592,0.0025818,1.85439,0.00123626,0.000163993
2.66686,2.66427,0.00258298,1.8416,0.00122773,0.000163991
2.68534,2.68276,0.00258415,1.82889,0.00121926,0.00016399
2.70396,2.70137,0.00258533,1.81628,0.00121085,0.000163989
2.7227,2.72011,0.00258651,1.80375,0.0012025,0.000163987
2.74157,2.73898,0.00258768,1.7913,0.0011942,0.000163986
2.76058,2.75799,0.00258886,1.77895,0.00118596,0.000163984
2.77971,2.77712,0.00259004,1.76668,0.00117778,0.000163983
2.79898,2.79639,0.00259122,1.75449,0.00116966,0.000163982
2.81838,2.81579,0.0025924,1.74239,0.00116159,0.000163981
2.83792,2.83532,0.00259357,1.73037,0.00115358,0.000163979
2.85759,2.85499,0.00259475,1.71844,0.00114562,0.000163978
2.8774,2.8748,0.00259593,1.70659,0.00113772,0.000163977
2.89734,2.89474,0.00259711,1.69482,0.00112988,0.000163976
2.91743,2.91483,0.00259829,1.68313,0.00112208,0.000163975
2.93765,2.93505,0.00259947,1.67152,0.00111434,0.000163974
2.95801,2.95541,0.00260065,1.65999,0.00110666,0.000163973
2.97852,2.97591,0.00260183,1.64854,0.00109903,0.000163972
2.99916,2.99656,0.00260301,1.63718,0.00109145,0.000163971
3.01995,3.01735,0.00260419,1.62589,0.00108392,0.00016397
3.04089,3.03828,0.00260537,1.61467,0.00107645,0.000163969
3.06196,3.05936,0.00260655,1.60354,0.00106902,0.000163968
3.08319,3.08058,0.00260773,1.59248,0.00106165,0.000163967
3.10456,3.10195,0.0026089,1.5815,0.00105433,0.000163966
3.12608,3.12347,0.00261008,1.5706,0.00104706,0.000163966
3.14775,3.14514,0.00261126,1.55977,0.00103984,0.000163965
3.16957,3.16695,0.00261244,1.54901,0.00103267,0.000163964
3.19154,3.18892,0.00261362,1.53833,0.00102555,0.000163963
3.21366,3.21104,0.0026148,1.52773,0.00101848,0.000163962
3.23594,3.23332,0.00261598,1.51719,0.00101146,0.000163962
3.25837,3.25575,0.00261716,1.50673,0.00100449,0.000163961
3.28095,3.27833,0.00261834,1.49635,0.000997562,0.00016396
3.3037,3.30107,0.00261952,1.48603,0.000990685,0.00016396
3.3266,3.32397,0.0026207,1.47579,0.000983855,0.000163959
3.34965,3.34703,0.00262188,1.46561,0.000977073,0.000163959
3.37287,3.37025,0.00262306,1.45551,0.000970337,0.000163958
3.39625,3.39363,0.00262424,1.44547,0.000963648,0.000163957
3.41979,3.41717,0.00262542,1.43551,0.000957005,0.000163957
3.4435,3.44087,0.0026266,1.42561,0.000950408,0.000163956
3.46737,3.46474,0.00262778,1.41579,0.000943856,0.000163956
3.4914,3.48877,0.00262896,1.40603,0.00093735,0.000163955
3.5156,3.51297,0.00263014,1.39634,0.000930889,0.000163955
3.53997,3.53734,0.00263131,1.38671,0.000924472,0.000163955
3.56451,3.56188,0.00263249,1.37715,0.0009181,0.000163954
3.58922,3.58658,0.00263367,1.36766,0.000911771,0.000163954
3.6141,3.61146,0.00263485,1.35823,0.000905487,0.000163953
3.63915,3.63651,0.00263603,1.34887,0.000899246,0.000163953
3.66438,3.66174,0.00263721,1.33957,0.000893048,0.000163953
3.68978,3.68714,0.00263838,1.33034,0.000886892,0.000163952
3.71535,3.71271,0.00263956,1.32117,0.00088078,0.000163952
3.74111,3.73846,0.00264074,1.31207,0.000874709,0.000163952
3.76704,3.7644,0.00264192,1.30302,0.000868681,0.000163951
3.79315,3.79051,0.00264309,1.29404,0.000862693,0.000163951
3.81944,3.8168,0.00264427,1.28512,0.000856748,0.000163951
3.84592,3.84327,0.00264545,1.27627,0.000850843,0.000163951
3.87258,3.86993,0.00264662,1.26747,0.00084498,0.00016395
3.89942,3.89677,0.0026478,1.25874,0.000839156,0.00016395
3.92645,3.9238,0.00264898,1.25006,0.000833373,0.00016395
3.95367,3.95102,0.00265015,1.24145,0.00082763,0.00016395
3.98107,3.97842,0.00265133,1.23289,0.000821927,0.000163949
4.00867,4.00601,0.0026525,1.2244,0.000816262,0.000163949
4.03645,4.0338,0.00265368,1.21596,0.000810637,0.000163949
