p_initial,p_final,e_loss,x_sigma,dir_sigma,e_sigma
1.38357,0.000721138,1.28193,2261.13,nan,1.78826e-10
1.39316,0.000131919,1.2915,nan,nan,1.07957e-12
1.40281,0.0592801,1.28564,485.651,0.444961,8.42524e-05
1.41254,0.0891467,1.27824,413.679,0.368512,0.000247634
1.42233,0.108372,1.27489,380.411,0.333497,0.000400721
1.43219,0.124201,1.27302,357.741,0.309904,0.000552148
1.44212,0.138134,1.27207,340.442,0.292098,0.000702366
1.45211,0.151005,1.27165,326.234,0.277622,0.000853863
1.46218,0.163031,1.27171,314.24,0.265518,0.00100527
1.47231,0.17463,1.27199,303.673,0.254948,0.0011597
1.48252,0.185798,1.27254,294.302,0.245652,0.00131535
1.49279,0.196724,1.27323,285.806,0.23729,0.00147379
1.50314,0.207349,1.27413,278.107,0.229768,0.00163301
1.51356,0.217895,1.27508,270.959,0.222832,0.001796
1.52405,0.228276,1.27617,264.351,0.216463,0.00196061
1.53462,0.238605,1.2773,258.161,0.210532,0.00212842
1.54525,0.248786,1.27857,252.396,0.205044,0.00229712
1.55597,0.259003,1.27982,246.924,0.199863,0.0024699
1.56675,0.269189,1.28113,241.75,0.194991,0.00264519
1.57761,0.279322,1.28251,236.859,0.19041,0.00282218
1.58855,0.28949,1.28389,232.189,0.186058,0.00300253
1.59956,0.299589,1.28537,227.766,0.181957,0.0031837
1.61065,0.309783,1.2868,223.507,0.178026,0.00336912
1.62181,0.320001,1.28825,219.429,0.174278,0.00355707
1.63305,0.330213,1.28976,215.528,0.17071,0.00374665
1.64437,0.3405,1.29125,211.766,0.167283,0.00393964
1.65577,0.350831,1.29274,208.146,0.163998,0.00413513
1.66725,0.361134,1.29432,204.677,0.160865,0.00433125
1.6788,0.371566,1.29583,201.308,0.157832,0.00453172
1.69044,0.382054,1.29734,198.053,0.154912,0.00473465
1.70216,0.392566,1.2989,194.913,0.152108,0.00493905
1.71396,0.403178,1.30042,191.864,0.149393,0.00514686
1.72584,0.413858,1.30194,188.909,0.146772,0.00535708
1.7378,0.424607,1.30345,186.043,0.144238,0.0055697
1.74985,0.435353,1.30504,183.276,0.141801,0.00578264
1.76198,0.44625,1.30655,180.573,0.139426,0.00599999
1.77419,0.457224,1.30806,177.945,0.137125,0.00621968
1.78649,0.468278,1.30956,175.388,0.134893,0.00644168
1.79887,0.479413,1.31105,172.9,0.132728,0.00666598
1.81134,0.490594,1.31258,170.482,0.130631,0.00689146
1.8239,0.501898,1.31405,168.12,0.128587,0.00712028
1.83654,0.513289,1.31552,165.817,0.1266,0.00735132
