nstep,size,error
0,100,1.19751e-09
1,400,3.06563e-07
2,1600,7.84792e-05
3,1699.93,9.99942e-05
4,1699.96,9.99905e-05
5,1700,9.99871e-05
6,1700.05,9.99836e-05
7,1100.07,1.75266e-05
