nstep,size,error
0,100,0.00119751
1,53.7564,0.0001
2,53.7564,9.99481e-05
3,53.7634,9.99134e-05
4,53.775,9.98787e-05
5,53.7913,9.98438e-05
6,53.8124,9.98088e-05
7,53.8381,9.97736e-05
8,53.8686,9.97382e-05
9,53.9039,9.97026e-05
10,53.9441,9.96666e-05
11,53.9892,9.96303e-05
12,54.0392,9.95936e-05
13,54.0942,9.95565e-05
14,54.1544,9.95189e-05
15,54.2197,9.94808e-05
16,54.2903,9.94421e-05
17,54.3663,9.94028e-05
18,54.4478,9.93628e-05
19,54.5348,9.93221e-05
20,54.6277,9.92806e-05
21,54.7264,9.92382e-05
22,54.8311,9.91949e-05
23,54.942,9.91506e-05
24,55.0593,9.91052e-05
25,55.1832,9.90586e-05
26,55.3138,9.90108e-05
27,55.4514,9.89617e-05
28,55.5963,9.8911e-05
29,55.7487,9.88588e-05
30,55.9089,9.8805e-05
31,56.0772,9.87492e-05
32,56.2539,9.86916e-05
33,56.4395,9.86317e-05
34,56.6342,9.85696e-05
35,56.8385,9.8505e-05
36,57.053,9.84376e-05
37,57.278,9.83673e-05
38,57.5142,9.82938e-05
39,57.7622,9.82168e-05
40,58.0226,9.8136e-05
41,58.2962,9.8051e-05
42,58.5838,0.000101529
43,58.3619,0.000101929
44,58.0838,0.000101843
45,57.8193,0.000101761
46,57.5675,0.000101683
47,57.3278,0.000101609
48,57.0996,0.000101538
49,56.8821,0.00010147
50,56.675,0.000101405
51,56.4776,0.000101342
52,56.2897,0.000101282
53,56.1107,0.000101224
54,55.9403,0.000101168
55,55.7781,0.000101114
56,55.6239,0.000101061
57,55.4773,0.000101011
58,55.338,0.000100961
59,55.2058,0.000100913
60,55.0805,0.000100867
61,54.9618,0.000100821
62,54.8496,0.000100777
63,54.7436,0.000100733
64,54.6437,0.000100691
65,54.5498,0.000100649
66,54.4616,0.000100608
67,54.3791,0.000100568
68,54.3021,0.000100529
69,54.2306,0.00010049
70,54.1643,0.000100452
71,54.1033,0.000100414
72,54.0474,0.000100377
73,53.9966,0.00010034
74,53.9507,0.000100304
75,53.9098,0.000100268
76,53.8737,0.000100232
77,53.8425,0.000100197
78,53.816,0.000100162
79,53.7942,0.000100127
80,53.7772,0.000100092
81,53.7648,0.000100057
82,53.7571,0.000100023
83,53.7541,9.99879e-05
84,53.7557,9.99533e-05
85,53.762,9.99186e-05
86,53.773,9.98839e-05
87,53.7886,9.98491e-05
88,53.8089,9.98141e-05
89,53.8339,9.97789e-05
90,53.8637,9.97436e-05
91,53.8983,9.9708e-05
92,53.9377,9.9672e-05
93,53.9821,9.96358e-05
94,54.0313,9.95992e-05
95,54.0856,9.95621e-05
96,54.145,9.95246e-05
97,54.2095,9.94866e-05
98,54.2793,9.9448e-05
99,54.3545,9.94088e-05
100,54.4351,9.93689e-05
101,54.5214,9.93283e-05
102,54.6133,9.92869e-05
103,54.7111,9.92446e-05
104,54.8149,9.92015e-05
105,54.9249,9.91573e-05
106,55.0412,9.91121e-05
107,55.1641,9.90657e-05
108,55.2937,9.90181e-05
109,55.4302,9.89692e-05
110,55.574,9.89188e-05
111,55.7253,9.88668e-05
112,55.8843,9.88132e-05
113,56.0513,9.87578e-05
114,56.2268,9.87004e-05
115,56.4109,9.86409e-05
116,56.6043,9.85791e-05
117,56.8071,9.85149e-05
118,57.02,9.84479e-05
119,57.2434,9.83781e-05
120,57.4779,9.83051e-05
121,57.7241,9.82287e-05
122,57.9826,9.81485e-05
123,58.2541,9.80641e-05
124,58.5395,0.000100924
125,58.4051,0.000101942
126,58.1249,0.000101855
127,57.8584,0.000101773
128,57.6048,0.000101695
129,57.3633,0.00010162
130,57.1333,0.000101548
131,56.9143,0.00010148
132,56.7056,0.000101415
133,56.5068,0.000101352
134,56.3175,0.000101291
135,56.1372,0.000101233
136,55.9655,0.000101176
137,55.8021,0.000101122
138,55.6467,0.000101069
139,55.4989,0.000101018
140,55.3586,0.000100969
141,55.2253,0.00010092
142,55.099,0.000100873
143,54.9793,0.000100828
144,54.8661,0.000100783
145,54.7592,0.00010074
146,54.6584,0.000100697
147,54.5636,0.000100655
148,54.4746,0.000100614
149,54.3912,0.000100574
150,54.3134,0.000100535
151,54.2411,0.000100496
152,54.174,0.000100458
153,54.1122,0.00010042
154,54.0555,0.000100383
155,54.0039,0.000100346
156,53.9573,0.00010031
157,53.9157,0.000100274
158,53.8789,0.000100238
159,53.8469,0.000100202
160,53.8197,0.000100167
161,53.7972,0.000100132
162,53.7795,0.000100097
163,53.7664,0.000100062
164,53.758,0.000100028
165,53.7543,9.99931e-05
166,53.7552,9.99585e-05
167,53.7608,9.99239e-05
168,53.771,9.98891e-05
169,53.7859,9.98543e-05
170,53.8055,9.98194e-05
171,53.8299,9.97843e-05
172,53.8589,9.97489e-05
173,53.8928,9.97134e-05
174,53.9315,9.96775e-05
175,53.975,9.96413e-05
176,54.0236,9.96047e-05
177,54.0771,9.95677e-05
178,54.1357,9.95303e-05
179,54.1994,9.94923e-05
180,54.2684,9.94538e-05
181,54.3428,9.94147e-05
182,23.7676,3.6274e-06
